,4-HC (DNA alkylator),4-HC+Dox (Combination),B581 (FTPase),Baicalein (CYP2C9),Bromopyruvate (Glycolysis),Cetuximab (EGFR),Chloroquine (Autophagy),Disulfiram (ALDH2),Doxorubicin (TOP2A),Everolimus (mTOR),FR180304 (ERK),GW5074 (RAF1),IKK 16 (IKK2),Imatinib (BCR-ABL),Mebendazole (Tubulin),Methylglyoxol (Pyruvate),MG-115 (Proteasome),MG-132 (Proteasome),MG-132b (Proteasome),Nelfinavir (Protease),Nilontinib (BCR-ABL),Olomoucine II (CDK1),PD184352 (MEK),PS-1145 (IKK),QNZ (NFkB),TCS PIM-11 (PIM1),Trastuzumab (ERBB2),Valproate (HDAC)
AU565,5.330683119433888,5.230622673923862,,4.462180904926726,,,,6.835647144215563,7.278189384787454,,,,5.583359492661719,4.667561540084395,6.958607314841775,3.6363880201078556,6.47755576649368,7.054531414868181,6.6020599913279625,,,5.33161408331,,,4.882728704344236,,,2.85078088734462
BT20,4.328827157284917,4.471083299722345,,4.4156687756324695,,,,7.301029995663981,6.480172006224281,,4.552841968657781,,5.458420756053419,4.886056647693163,6.1904402853647325,,6.517126416391246,6.406713932979542,6.772113295386326,5.1598939055432425,,5.391473966422806,,,,0.9706162223147904,,2.4190750243243806
BT474,4.772113295386326,4.823908740944319,,4.303643611266668,7.099086932262331,,4.94692155651658,3.96657624451305,6.798602875679548,8.586700235918748,4.798602875679548,,5.266802734893431,4.503070351926785,6.504455662453552,3.3205721033878812,6.638272163982407,6.600326278518962,6.406713932979542,4.896196279044043,,5.2020403562628035,,,7.519993057042849,,,2.978810700930062
BT549,7.24184537803261,,4.006123085058789,4.638272163982407,7.987162775294828,,,6.892790030352131,7.560667306169737,6.87942606879415,,,5.400116927926312,4.437707135543525,6.304518323509803,4.169411331314856,6.645891560852599,7.037630664329979,6.939302159646388,4.987162775294828,,5.663540266151471,,,,,,2.571865205971211
CAMA1,4.716698771296451,4.85078088734462,,4.338187314462739,6.982966660701219,,4.903089986991944,4.85078088734462,6.94692155651658,8.1518108830086,,,5.567030709125595,4.767003889607846,6.325138859262188,2.696803942579511,6.35261702988538,6.730487055782084,6.554395796726403,5.370590400897281,,5.542118103266008,,,,,,2.8827287043442356
HCC1806,4.6252516539898965,4.91721462968355,,4.448550002027125,6.966576244513051,,5.219682687859849,,7.076755981369724,4.605548319173784,,,5.987162775294828,5.153662887870195,6.496209316942819,4.293282217663242,5.872895201635193,6.501689446210399,,5.111259039317107,,5.057991946977687,,,,,,2.575118363368933
HCC3153,4.749579997691106,4.8326826652518236,,4.785156151952302,7.705533773838407,,,,6.954677021213342,4.847711655616943,,,5.481486060122113,4.527243550682788,6.1778319206319825,3.769551078621726,6.301029995663981,6.686132779630847,6.8326826652518236,5.1605219526258015,,5.508638306165727,,,6.3819519032879075,,,2.5590909179347823
LY2,4.343901797987168,4.0101054362812265,,4.519993057042849,6.655607726314889,,5.090979145788844,5.008330992620052,6.462180904926726,7.517126416391246,3.0213630516155257,,5.2636034977233574,4.913640169325252,6.315154638355588,,5.614393726401688,6.432973633840939,6.148130399270234,5.055024091587952,,5.623423042943488,,4.078833949362261,,,,2.679853713888946
MCF7,4.437707135543525,4.583359492661719,,4.301029995663981,6.485452247339714,,5.071604147743286,4.452225294612178,6.958607314841775,6.46344155742847,,,,4.906578314837765,6.2168113089247425,2.962573502059376,5.7544873321858505,6.471083299722345,6.386158178123931,4.804100347590766,,5.229884705212898,,,6.485452247339714,,,2.642065152999546
MDAMB453,5.406713932979542,5.411168274405793,,,7.070070439915412,,5.756961951313706,,6.847711655616943,7.58838029403677,3.3565473235138126,4.300162274132754,5.58838029403677,4.7121982700697735,6.943095148663527,2.9871627752948275,6.2580609222708015,6.407823242604133,6.671620396561262,5.075204004202088,,5.3124710387853655,4.441291429466834,,,,,3.1469104701481343
ZR75B,4.7447274948966935,4.787812395596042,,4.36251027048749,,5.317854923626168,,,7.403402904373539,,4.5638373529592435,,,4.6252516539898965,6.812479279163537,2.785156151952302,5.52432881167557,6.3979400086720375,5.6777807052660805,5.134896025358872,,5.229884705212898,,,,,,2.705533773838407
HS578T,5.031050319018657,5.140861702705469,6.280668713016273,4.393618634889395,6.649751981665837,,5.343901797987169,5.43533393574791,6.8297382846050425,,4.2247537402597635,,5.021363051615525,5.686132779630847,6.455931955649724,3.661543506395395,6.279840696594043,8.4089353929735,6.651695136951839,5.069050968832477,8.261219441515632,,8.785156151952302,,,,,3.8239087409443187
MCF10F,4.497572880015567,4.437707135543525,,,,3.9244530386074694,,,6.43533393574791,6.002613615602686,4.09312646527793,,5.369572124974976,4.382999658879101,5.450996737974212,3.6038006529042637,6.640164517660112,7.135488918941608,7.137868620686962,4.987162775294828,1.3565473235138126,5.034798298974088,,,,,,2.4225082001627745
MCF12A,5.162411561764489,5.238824186844268,,5.011441043121384,7.443697499232713,5.928117992693875,4.892790030352131,4.966576244513051,7.2373214362725635,4.869666231504994,,,5.393618634889395,4.485452247339714,5.7423214251308154,3.2941362877160807,6.673664139071248,7.440093374963888,6.995678626217358,4.6439741428068775,,5.1938200260161125,5.084072788302884,,,,,2.7235381958267557
MDAMB231,4.931814138253839,5.208309350979882,,4.747146969020107,6.94692155651658,,5.291579099865287,5.85078088734462,7.379863945026242,4.266802734893431,,,5.85078088734462,4.806875401645539,6.460923901207224,3.0305840876460186,5.94692155651658,6.5934598195660445,,4.906578314837765,,5.166215625343521,,,,,,1.8601209135987635
MDAMB361,,,,,6.686132779630847,,4.903089986991944,7.1598939055432425,,8.351639989019068,4.667561540084395,,5.070070439915412,4.534617148551582,6.798602875679548,2.8827287043442356,7.428291168191312,6.617982957425132,,5.087777943467585,,5.0385789059335515,,,,,,3.306273051076353
SUM159PT,5.54515513999149,5.274905478918531,4.835647144215563,,7.3535962737769305,4.730487055782084,4.920818753952375,6.954677021213342,7.142064735280571,6.3585258894959,,,5.939302159646388,4.749579997691106,6.634512015109101,4.619788758288394,6.950781977329818,7.273272790973428,7.356547323513813,,,5.317854923626168,6.3325470471100465,19.5016894462104,3.3767507096020997,,,2.9136401693252516
T47D,5.113509274827518,5.154281982033341,,4.52432881167557,7.4179366370882915,,8.412289034981088,7.010995384301463,7.0,5.920818753952375,,,5.55129368009492,4.815308569182402,5.657577319177793,2.9956786262173574,6.27083521030723,6.966576244513051,6.341035157335565,4.876148359032914,,5.18111458540599,,,,,,2.530177984021837
T47DKBLUC,4.931814138253839,4.995678626217358,,4.230622673923862,7.276544327964814,,4.995678626217358,6.995678626217358,6.935542010773082,5.00436480540245,,,5.2373214362725635,4.647817481888637,4.580044251510242,2.8210230527068307,6.249491605148654,6.767003889607846,6.61261017366127,,,,,,,,,2.7619538968712045
ZR7530,,,,,,,,7.045757490560675,9.832682665251824,,,,,,6.350665141287858,,,,,5.73754891026957,,,,,,,,
21MT1,4.607303046740334,4.690369832574101,,,,,,,6.614393726401688,,,,,,4.7423214251308154,3.0741724253752576,6.308034897232639,,7.024108863598207,4.866461091629782,,,,,,,,
21NT,4.924453038607469,4.97061622231479,,,,,,4.718966632752273,6.7423214251308154,,,,,,6.075720713938118,3.2716462179787715,6.508638306165727,,6.991399828238082,4.568636235841013,,,,,,,,
600MPE,4.488116639021126,4.583359492661719,,,7.497572880015567,,7.91721462968355,7.095825631715837,6.663540266151471,4.701146923590294,4.649751981665837,,5.110698297493689,4.628932137728264,5.002176919254275,3.216096420727265,5.886056647693163,6.301029995663981,6.309803919971486,5.051098239029787,,5.22767829327708,,,,,,2.515700160653214
HCC1143,4.910094888560602,4.94692155651658,,4.154901959985743,7.448550002027125,6.120904120499927,8.482804102050025,6.94692155651658,6.954677021213342,5.8326826652518236,4.5968794788241825,,5.300162274132754,4.534617148551582,6.014124642691606,3.0222763947111524,6.301029995663981,6.801342913045577,6.447331783887807,5.134896025358872,,5.508638306165727,,,,,,2.6556077263148894
HCC1954,4.8326826652518236,5.032452023781138,,,,,,,7.195860567664649,,3.1372724716820253,,5.863279432843593,4.982966660701219,6.818156412055227,,6.168770306132936,,6.350665141287858,5.013676222949234,,4.950781977329818,4.804100347590766,2.3726341434072675,,4.522878745280337,-3.7299742856995555,2.5199930570428495
HCC38,6.084072788302884,6.180456064458132,,5.141462802430361,6.87942606879415,4.3819519032879075,4.866461091629782,5.958607314841775,8.027334407733889,6.246416941107094,4.235077015350112,,5.450996737974212,4.492144128304169,6.478861916295964,,6.27083521030723,6.6595558851598815,6.525783735923745,4.777283528852417,,5.534617148551582,,-2.4668676203541096,7.129596094720973,4.0254883072626715,,3.0510982390297863
MCF10A,5.021363051615525,5.114073660198569,,4.5968794788241825,7.838631997765025,,4.872895201635193,4.931814138253839,7.007446482167865,6.08196966321512,,4.486782399932061,5.559090917934783,4.638272163982407,5.497572880015567,3.3018994543766103,6.903089986991944,7.205511953340831,7.1938200260161125,4.896196279044043,,5.51427857351842,5.872895201635193,,,4.567030709125595,,2.9706162223147903
MDAMB157,5.690369832574102,5.562249437179612,,4.388276691992658,7.288192770958809,,5.777283528852417,7.220403508742176,7.42021640338319,4.6252516539898965,,,5.7423214251308154,4.761953896871205,6.300162274132754,3.326979092871104,6.349692476868063,6.764471553092451,,5.0851281824599495,,5.22767829327708,,,4.931814138253839,,,2.6757175447023074
SKBR3,4.903089986991944,4.987162775294828,,3.958607314841775,7.379863945026242,,,7.095825631715837,7.08460016478773,6.844663962534939,3.832682665251824,4.414539270491499,5.525783735923745,4.640164517660112,6.490797477668897,3.1209041204999273,6.059981844992337,6.575118363368933,6.356547323513812,5.089909454405932,,4.962573502059376,,,6.655607726314889,,,3.037630664329979
SUM229PE,4.531652669587842,4.698970004336019,,4.3819519032879075,7.386158178123931,,4.85078088734462,,6.673664139071248,4.752026733638194,,,5.995678626217358,5.752026733638194,4.838631997765025,3.393618634889395,6.400116927926312,6.982966660701219,6.598599459218456,,,5.130768280269024,6.250263684430939,,,4.573488738635425,,2.6516951369518393
UACC812,5.101823516502323,4.97469413473523,,,7.105683937315561,,8.385102783966865,7.0343280287798935,6.640164517660112,7.490797477668897,,,5.090443970758825,4.982966660701219,4.903089986991944,2.8477116556169437,5.978810700930062,6.785156151952302,6.4698003017969175,,,5.202732459169283,,,,,6.002176919254275,2.3675427078152755
HCC1395,4.590066876668706,4.600326278518962,,4.787812395596042,,5.709965388637482,,,6.665546248849069,4.939302159646388,4.432973633840939,,5.856985199745905,4.8996294548824375,6.334419008982047,2.939302159646388,,6.634512015109101,6.501689446210399,,,5.638272163982407,,,7.478861916295964,-0.7067177823367587,,2.4546928835341757
HCC1428,5.079354998593212,5.014124642691606,,4.6307841425898575,7.402304814074488,,11.002176919254275,4.966576244513051,6.262807357295263,5.05700040663396,4.5638373529592435,,5.386158178123931,4.782516055786093,3.3925449767853313,2.7670038896078464,6.20690839982342,6.54821356447571,6.507239610973162,5.164943898279883,,5.22767829327708,,,7.231361898752385,4.087246696328677,,3.0915149811213505
HCC1569,4.490797477668897,4.576754126063192,,4.328827157284917,7.388276691992658,,6.950781977329818,,6.489454989793388,,,,5.484126156288321,4.779891911959945,5.314258261397736,3.0132282657337552,6.341988603342887,6.474955192963154,6.607303046740334,,,5.236572006437063,,,,,,2.7423214251308154
HCC1937,5.011887159731648,4.995678626217358,,4.460923901207224,7.449771646944906,-2.0718820073061255,,6.889410289700751,6.721246399047171,6.100726812682396,,,5.591760034688151,4.688246138944246,4.896196279044043,3.254144804826271,6.438898616350944,6.82102305270683,6.958607314841775,5.145693958198919,,5.1979107421182675,,,,,,2.563837352959244
HCC202,4.779891911959945,4.950781977329818,,4.6252516539898965,7.392544976785332,,,4.835647144215563,6.539102157243452,,,,5.120904120499927,6.663540266151471,6.684029654543083,,6.679853713888946,,6.97061622231479,5.3448615651886175,,,,5.196542884351586,,,8.869666231504993,
HCC2185,,,,4.51427857351842,,6.218244625347531,,,,7.97061622231479,,5.149353764816934,5.131943638176958,4.826813731587726,,,,6.449771646944906,,,,5.122628654130226,,,8.872895201635192,,5.785156151952302,2.571865205971211
HCC70,5.088842391260023,5.266802734893431,,,,,,,7.266802734893431,6.982966660701219,4.539102157243452,,5.539102157243452,4.767003889607846,6.856985199745905,2.9430951486635273,6.671620396561262,7.154281982033341,7.041914151478915,4.7544873321858505,,5.474955192963154,,1.978810700930062,7.258848401148215,3.838631997765025,,2.9136401693252516
MDAMB134VI,3.9746941347352296,3.9706162223147903,,,6.421360790031928,,4.863279432843593,5.876148359032914,6.382999658879101,7.270025714300444,,,5.309803919971486,4.471083299722345,,2.596879478824182,,6.5003129173815966,,5.057495893831919,,5.251037138743839,,,,,,3.0604807473813813
MDAMB175VII,5.042392712939905,5.03810452633215,,3.962573502059376,,,,7.018181392829336,6.954677021213342,5.104577453960592,5.060980223551334,,5.346787486224656,5.168770306132936,6.6020599913279625,2.5850266520291822,5.91721462968355,6.586700235918748,6.447331783887807,5.150580586203101,,5.127261172527331,4.533132379645891,2.8068754016455384,,3.7471469690201067,,2.7166987712964503
MDAMB415,4.97469413473523,4.935542010773082,,,7.319664486585437,,5.167491087293763,4.886056647693163,6.779891911959945,8.829738284605043,,,,4.665546248849069,6.414539270491499,,5.610833915635467,6.632644078973981,5.671620396561262,5.2168113089247425,,5.367542707815276,,,,,4.882728704344236,3.0315170514460648
MX1,5.690369832574102,,11.274088367704952,4.826813731587726,7.494850021680094,,5.005243055412372,4.542118103266008,6.777283528852417,5.458420756053419,,,,4.649751981665837,6.424812155072339,3.284832642151542,6.060980223551334,6.85078088734462,6.360513510731414,5.151810883008602,,6.484126156288321,4.903089986991944,,,4.429457060118103,,4.308918507877031
SUM1315MO2,5.330683119433888,5.527243550682788,,4.769551078621726,,6.906578314837765,,6.355561410532162,7.5638373529592435,5.165579296318468,4.610833915635467,,5.812479279163537,,,3.1739251972991736,6.931814138253839,6.872895201635193,6.943095148663527,,,5.449771646944906,4.714442690992226,,,4.5968794788241825,,2.5590909179347823
SUM149PT,5.536107011014093,5.291579099865287,5.018634490921456,4.031517051446065,7.546681659952962,7.958607314841775,,4.97061622231479,6.906578314837765,5.42021640338319,4.701146923590294,,5.815308569182402,4.665546248849069,6.176525770829699,4.764471553092451,5.815308569182402,6.962573502059376,6.36251027048749,4.982966660701219,,5.269217724333611,4.882728704344236,,4.94692155651658,4.489454989793388,,2.8181564120552274
SUM52PE,4.913640169325252,4.928117992693875,5.111820506081675,4.384049948343599,7.6252516539898965,,5.056011124926228,,6.598599459218456,7.730487055782084,4.493494967595128,,5.935542010773082,6.029653123769907,7.036212172654444,4.841637507904751,6.361510743045363,7.073657553374345,6.97061622231479,,,5.099086932262331,,3.5228787452803374,,4.5951662833800615,,2.9469215565165805
ZR751,5.139661993429006,5.259637310505756,,,7.3788237182249645,,4.863279432843593,,7.110138278741812,7.546681659952962,5.229884705212898,,5.292429823902063,4.557520230935552,6.623423042943488,,5.645891560852599,6.208309350979882,6.213248577854439,4.939302159646388,,5.209714835966758,,,7.274905478918531,4.001740661576301,,2.9913998282380825
BT483,,,,4.438898616350944,7.87942606879415,,,4.178486471595227,,5.546681659952962,4.450996737974212,,,,5.665546248849069,,,6.823908740944319,,5.005682847330363,4.447331783887806,5.2373214362725635,,,,,4.8297382846050425,3.0254883072626715
HCC1187,,,,4.686132779630847,,,,,,,4.924453038607469,,5.2335871528876,4.906578314837765,,5.372634143407267,,7.102372908709558,,,3.7619538968712045,5.183758700008217,,,,4.416801226031377,,2.7772835288524167
SUM225CWN,,,4.505845405981558,4.434152181326482,,,,,,7.619788758288394,4.619788758288394,,5.510041520575165,4.826813731587726,,,,7.1095789811990855,,,,5.279014255846261,,,,4.498940737782249,,2.712198270069774
HCC1419,,,,4.396855627379818,6.425968732272281,,5.175223537524454,3.96657624451305,,8.401209493236886,4.87942606879415,,5.359518563029578,4.696803942579511,4.721246399047171,2.517126416391246,,6.804100347590766,,5.655607726314889,,5.355561410532162,0.27002571430044436,,8.231361898752386,4.305394801066432,6.044312249686494,2.9281179926938745
SUM185PE,,,4.575118363368933,,7.393618634889395,,5.040958607678906,3.7375489102695707,,5.804100347590766,4.432973633840939,,,4.906578314837765,6.295849483160201,2.9281179926938745,,7.010995384301463,,5.236572006437063,,5.982966660701219,,,,4.671620396561262,,2.838631997765025
184A1,,,,,7.476253533188435,8.26841123481326,7.423658649794207,4.8996294548824375,,6.164943898279883,4.605548319173784,5.694648630553377,6.045757490560675,4.860120913598763,,,,7.72584215073632,,5.476253533188435,,5.496209316942819,5.116338564846383,,4.295849483160201,5.15676722190199,5.573488738635425,3.0048037084028207
184B5,,,,,7.406713932979542,7.609064892896621,8.318758762624412,4.931814138253839,,5.549750891680639,4.889410289700751,5.521433504406157,5.826813731587726,4.5951662833800615,,,,7.785156151952302,,5.329754146925876,,5.528708288941061,5.519993057042849,,7.462180904926726,5.610833915635467,,3.070581074285707
